n,m,d,Z_reduction,X_and_Y_have_different_distribution,average_percentage_change,max_change,min_change
30,30,10,0.37,True,25.0,100.0,0.0
30,30,10,0.5,False,14.301685772747351,41.463414634146346,0.0
30,30,10,0.5,True,0.0,0.0,0.0
30,30,10,0.6,False,22.97790083157352,41.463414634146346,0.9302325581395358
30,30,10,0.6,True,12.5,50.0,0.0
30,30,10,0.75,False,5.316997159276941,6.279069767441866,4.555314533622563
30,30,10,0.75,True,25.0,100.0,0.0
30,30,10,1.0,False,0.0,0.0,0.0
30,30,10,1.0,True,0.0,0.0,0.0
30,30,40,0.1,False,38.104854720232865,47.11538461538462,32.227488151658775
30,30,40,0.1,True,300.0,1100.0,0.0
30,30,40,0.25,False,27.077931778343537,44.1340782122905,1.4218009478673
30,30,40,0.25,True,608.3333333333334,2300.0,0.0
30,30,40,0.37,False,21.370325830321825,47.59615384615385,1.8957345971564
30,30,40,0.37,True,350.0,1200.0,0.0
30,30,40,0.5,False,18.248359195439154,42.30769230769231,0.71090047393365
30,30,40,0.5,True,241.66666666666666,900.0,0.0
30,30,40,0.6,False,20.281946025694204,37.49999999999999,5.55555555555556
30,30,40,0.6,True,41.666666666666664,100.0,0.0
30,30,40,0.75,False,6.63683012060781,14.035087719298255,1.117318435754191
30,30,40,0.75,True,50.0,100.0,0.0
30,30,40,1.0,False,0.0,0.0,0.0
30,30,40,1.0,True,0.0,0.0,0.0
100,100,10,0.01,False,110.74294279263015,226.02739726027394,8.809523809523817
100,100,10,0.01,True,12.000000000000002,48.00000000000001,0.0
100,100,10,0.05,False,52.325132776279375,128.76712328767127,7.216494845360831
100,100,10,0.05,True,27.499999999999996,109.99999999999999,0.0
100,100,10,0.1,False,23.32632870775862,35.61643835616438,11.1904761904762
100,100,10,0.1,True,4.25,17.0,0.0
100,100,10,0.25,False,17.05647574663251,25.773195876288668,5.2380952380952435
100,100,10,0.25,True,0.0,0.0,0.0
100,100,10,0.37,False,14.051917768797331,39.175257731958766,1.42857142857143
100,100,10,0.37,True,4.499999999999997,17.99999999999999,0.0
100,100,10,0.5,False,5.7310655100758785,17.80821917808219,1.1494252873563229
100,100,10,0.5,True,0.7500000000000007,3.0000000000000027,0.0
100,100,10,0.6,False,15.002864751274778,39.175257731958766,1.3698630136986314
100,100,10,0.6,True,0.499999999999997,1.999999999999988,0.0
100,100,10,0.75,False,11.2022233229422,25.773195876288668,2.85714285714286
100,100,10,0.75,True,2.749999999999999,10.999999999999996,0.0
100,100,10,1.0,False,0.0,0.0,0.0
100,100,10,1.0,True,0.0,0.0,0.0
100,100,40,0.01,False,51.268503728755704,152.98507462686567,3.141361256544505
100,100,40,0.01,True,0.0,0.0,0.0
100,100,40,0.05,False,47.399572628926535,110.44776119402981,13.46938775510204
100,100,40,0.05,True,0.0,0.0,0.0
100,100,40,0.1,False,39.63178433833485,69.40298507462687,19.591836734693874
100,100,40,0.1,True,0.0,0.0,0.0
100,100,40,0.25,False,28.773472427182956,69.40298507462687,1.6326530612244914
100,100,40,0.25,True,0.0,0.0,0.0
100,100,40,0.37,False,13.817359169971027,39.55223880597014,3.0812324929972017
