expr,min,lq,mean,median,uq,max,neval,name,variance,sd,dist_type,n,m,d
result,1701.360121,1714.532456,1752.1575615,1754.0338015,1771.818834,1804.495825,10,rank_distance_original,1333.20472146318,36.5130760339797,mieszany,200,250,100
result,662.213309,668.346957,697.8454975,672.6701615,737.158033,771.766638,10,rank_distance_upgraded,1722.35210888697,41.50123020932,mieszany,200,250,100
result,1599.333929,1641.381046,1682.0665605,1676.5966145,1733.837119,1765.016197,10,rank_distance_original,3079.73320251696,55.4953439715167,jednostajny,200,250,20
result,595.602646,598.348248,636.1787623,607.8992685,683.574288,701.763383,10,rank_distance_upgraded,2066.68758099986,45.4608356830345,jednostajny,200,250,20
result,1586.70569,1602.708327,1665.0415853,1640.9797315,1739.894099,1751.67542,10,rank_distance_original,4812.35975736828,69.3711738214676,normalny,200,250,20
result,595.001259,597.814482,645.4909673,646.8937005,685.6108,708.821114,10,rank_distance_upgraded,2182.99655997893,46.7225487316235,normalny,200,250,20
result,1559.314297,1633.912889,1677.3256202,1694.997413,1729.370636,1752.347027,10,rank_distance_original,4430.1918965644,66.5596867222526,gamma,200,250,20
result,584.911403,608.099532,633.4275461,635.9877555,663.935849,667.973973,10,rank_distance_upgraded,904.980448063046,30.0828929470396,gamma,200,250,20
result,1577.313219,1616.268563,1670.873014,1683.443777,1727.336811,1741.491701,10,rank_distance_original,3796.93580034386,61.6192810761685,Poisson,200,250,20
result,588.32071,593.685634,633.7121818,608.8068335,660.219137,758.95669,10,rank_distance_upgraded,3313.33737272247,57.5615963357729,Poisson,200,250,20
result,1641.753087,1647.227,1666.8993584,1656.784915,1659.749749,1771.041164,10,rank_distance_original,1463.65763414272,38.2577787403127,t-Student,200,250,20
result,606.643954,626.442084,660.7056772,654.716996,666.070906,776.764646,10,rank_distance_upgraded,2257.16473990916,47.5096278654039,t-Student,200,250,20
result,1605.225321,1621.956541,1648.038475,1643.4127015,1665.256487,1720.419484,10,rank_distance_original,1233.33877468079,35.1189233132338,mieszany,200,250,20
result,592.39645,593.654694,639.9140238,645.190753,665.321111,695.027167,10,rank_distance_upgraded,1444.93434675877,38.0122920482147,mieszany,200,250,20
result,8055.161539,8099.361091,8136.2292885,8122.089087,8185.076659,8268.655017,10,rank_distance_original,4242.99421553324,65.1382699765141,jednostajny,500,300,100
result,2763.91771,2815.656639,2848.2884506,2833.294996,2858.770684,3016.775366,10,rank_distance_upgraded,4956.85225189612,70.4049163900939,jednostajny,500,300,100
result,7925.090073,7996.616396,8025.0928218,8000.542335,8033.866679,8278.306752,10,rank_distance_original,9257.38222141408,96.2152909958396,normalny,500,300,100
result,2772.001133,2776.835446,2819.7280631,2782.596841,2881.043943,2977.232494,10,rank_distance_upgraded,4954.23044632242,70.386294449434,normalny,500,300,100
result,7981.483814,8009.220543,8087.2887904,8093.581377,8134.979963,8211.826658,10,rank_distance_original,5680.96314683613,75.372164270612,gamma,500,300,100
result,2773.211393,2785.947474,2816.7755421,2811.5726565,2844.368113,2866.477778,10,rank_distance_upgraded,994.613756771458,31.5374976301459,gamma,500,300,100
result,8107.477311,8766.695675,9016.0602346,9079.671902,9455.058224,9593.667768,10,rank_distance_original,275756.693875477,525.125407760353,Poisson,500,300,100
